epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,124.842,0.55786,0.62727,0.49484,0.9392,0,0.94045,0.77419,0.85987,0.55537,0.94045,0.77419,0.84231,0.5462,1.13345,1.98836,0.81654,1.3878,0,0.0009308,0.0009308,0.0009308
29,129.029,0.50399,0.58265,0.47496,0.91067,0,0.88955,0.77956,0.87072,0.5834,0.88955,0.77956,0.84326,0.54904,1.12087,2.04253,0.8174,1.34461,0,0.0008912,0.0008912,0.0008912
30,133.067,0.51065,0.59199,0.46427,0.93204,0,0.90588,0.80645,0.84544,0.61929,0.90588,0.80645,0.86866,0.56053,0.98136,2.14567,0.79729,1.25199,0,0.0008516,0.0008516,0.0008516
31,137.248,0.51997,0.5728,0.46826,0.91642,0,0.89112,0.79229,0.85438,0.61915,0.89112,0.79229,0.87238,0.55766,1.02144,2.04442,0.81168,1.29654,0,0.000812,0.000812,0.000812
32,141.274,0.50952,0.57027,0.43792,0.90606,0,0.81653,0.86161,0.89392,0.61255,0.81653,0.86161,0.88626,0.57949,1.08572,1.91294,0.82779,1.33295,0,0.0007724,0.0007724,0.0007724
33,145.254,0.50063,0.54656,0.43181,0.89131,0,0.81138,0.83274,0.86122,0.58177,0.81138,0.83274,0.86377,0.54902,1.07391,1.95449,0.83774,1.35645,0,0.0007328,0.0007328,0.0007328
34,149.583,0.47024,0.54235,0.42943,0.912,0,0.81559,0.77419,0.82409,0.53912,0.81559,0.77419,0.82994,0.52512,1.15163,2.02678,0.88291,1.39878,0,0.0006932,0.0006932,0.0006932
35,153.749,0.45772,0.52508,0.40981,0.86944,0,0.88528,0.77419,0.86573,0.58253,0.88528,0.77419,0.86687,0.55437,1.07361,1.91618,0.77543,1.37362,0,0.0006536,0.0006536,0.0006536
36,157.936,0.45536,0.52846,0.40022,0.88108,0,0.86346,0.83871,0.87781,0.61098,0.86346,0.83871,0.89372,0.56265,1.04998,1.94431,0.76812,1.35006,0,0.000614,0.000614,0.000614
37,162.032,0.44485,0.52115,0.39268,0.89829,0,0.91138,0.74194,0.87573,0.58216,0.91138,0.74194,0.85524,0.54542,1.02133,1.98787,0.82857,1.34058,0,0.0005744,0.0005744,0.0005744
38,166.094,0.42993,0.50179,0.38753,0.87079,0,0.8624,0.70968,0.83943,0.58063,0.8624,0.70968,0.82995,0.5495,1.04574,2.08369,0.87715,1.39566,0,0.0005348,0.0005348,0.0005348
39,170.189,0.40773,0.50314,0.36921,0.86042,0,0.7993,0.90323,0.87946,0.62056,0.7993,0.90323,0.87872,0.57093,1.03611,1.89396,0.71723,1.36336,0,0.0004952,0.0004952,0.0004952
40,174.226,0.41936,0.49212,0.36007,0.87458,0,0.91673,0.80645,0.90308,0.65218,0.91673,0.80645,0.88359,0.58692,1.07351,1.90903,0.71798,1.3491,0,0.0004556,0.0004556,0.0004556
41,208.277,0.40584,0.51114,0.35646,0.88492,0,0.85619,0.87097,0.88845,0.62054,0.85619,0.87097,0.88044,0.59283,1.04714,1.91323,0.68476,1.3648,0,0.000416,0.000416,0.000416
42,212.291,0.38836,0.49751,0.34678,0.8596,0,0.79232,0.8617,0.85997,0.5821,0.79232,0.8617,0.86366,0.55521,1.07921,2.21059,0.78076,1.39234,0,0.0003764,0.0003764,0.0003764
43,216.418,0.37057,0.48248,0.33776,0.85765,0,0.91874,0.80645,0.88445,0.6131,0.91874,0.80645,0.88259,0.59584,1.05577,1.96742,0.71056,1.33347,0,0.0003368,0.0003368,0.0003368
44,220.307,0.36535,0.48059,0.32978,0.85537,0,0.82294,0.90323,0.88064,0.64946,0.82294,0.90323,0.87415,0.59575,1.01088,1.89458,0.71151,1.26009,0,0.0002972,0.0002972,0.0002972
45,224.182,0.35155,0.47144,0.32429,0.8495,0,0.84734,0.89544,0.87445,0.64574,0.84734,0.89544,0.86741,0.59275,0.99383,1.98195,0.70333,1.2344,0,0.0002576,0.0002576,0.0002576
46,228.151,0.35101,0.47924,0.31929,0.84119,0,0.83856,0.90323,0.87544,0.63218,0.83856,0.90323,0.86713,0.58794,0.99016,2.12975,0.7104,1.24198,0,0.000218,0.000218,0.000218
47,231.969,0.33841,0.47333,0.31059,0.83063,0,0.81493,0.83871,0.87227,0.63292,0.81493,0.83871,0.863,0.58532,0.98672,2.20972,0.73404,1.23544,0,0.0001784,0.0001784,0.0001784
48,235.862,0.32667,0.44634,0.30095,0.84278,0,0.82994,0.80645,0.86704,0.62656,0.82994,0.80645,0.86552,0.57085,1.01094,2.24081,0.77784,1.26417,0,0.0001388,0.0001388,0.0001388
49,240.108,0.34952,0.45805,0.3117,0.84642,0,0.81768,0.80645,0.86261,0.62326,0.81768,0.80645,0.86208,0.57013,1.0258,2.19893,0.74988,1.28127,0,9.92e-05,9.92e-05,9.92e-05
50,244.219,0.3255,0.46074,0.30089,0.82029,0,0.83191,0.79845,0.85958,0.62344,0.83191,0.79845,0.85099,0.57493,1.02283,2.18996,0.72819,1.27724,0,5.96e-05,5.96e-05,5.96e-05
